obs,BatID,species,type,se_value,MID,IID,dif
O2,26,V. vulturnus,right,0.03,26O2right,154,-0.1999999999999993
O3,26,V. vulturnus,left,0.03,26O3left,155,-0.10000000000000142
O3,26,V. vulturnus,right,0.03,26O3right,156,0.1999999999999993
O1,27,V. vulturnus,left,0.03,27O1left,157,-0.3000000000000007
O1,27,V. vulturnus,right,0.03,27O1right,158,0.09999999999999787
O2,27,V. vulturnus,left,0.03,27O2left,159,0.3000000000000007
O2,27,V. vulturnus,right,0.03,27O2right,160,0
O3,27,V. vulturnus,left,0.03,27O3left,161,-0.1999999999999993
O3,27,V. vulturnus,right,0.03,27O3right,162,0
O1,28,V. vulturnus,left,0.03,28O1left,163,0.10000000000000142
O1,28,V. vulturnus,right,0.03,28O1right,164,0.29999999999999716
O2,28,V. vulturnus,left,0.03,28O2left,165,0.1999999999999993
O2,28,V. vulturnus,right,0.03,28O2right,166,0.10000000000000142
O3,28,V. vulturnus,left,0.03,28O3left,167,0.8999999999999986
O3,28,V. vulturnus,right,0.03,28O3right,168,0
O1,29,V. vulturnus,left,0.03,29O1left,169,0.40000000000000213
O1,29,V. vulturnus,right,0.03,29O1right,170,0.10000000000000142
O2,29,V. vulturnus,left,0.03,29O2left,171,-0.09999999999999787
O2,29,V. vulturnus,right,0.03,29O2right,172,0.09999999999999787
O3,29,V. vulturnus,left,0.03,29O3left,173,0.1999999999999993
O3,29,V. vulturnus,right,0.03,29O3right,174,0
O1,30,V. vulturnus,left,0.03,30O1left,175,-0.10000000000000142
O1,30,V. vulturnus,right,0.03,30O1right,176,0
O2,30,V. vulturnus,left,0.03,30O2left,177,0.3000000000000007
O2,30,V. vulturnus,right,0.03,30O2right,178,0.10000000000000142
O3,30,V. vulturnus,left,0.03,30O3left,179,1
O3,30,V. vulturnus,right,0.03,30O3right,180,0
O1,31,V. vulturnus,left,0.03,31O1left,181,-0.09999999999999787
O1,31,V. vulturnus,right,0.03,31O1right,182,-0.3999999999999986
O2,31,V. vulturnus,left,0.03,31O2left,183,0.3999999999999986
O2,31,V. vulturnus,right,0.03,31O2right,184,0.1999999999999993
O3,31,V. vulturnus,left,0.03,31O3left,185,-0.10000000000000142
O3,31,V. vulturnus,right,0.03,31O3right,186,-0.09999999999999787
O1,32,C. gouldi,left,0.03,32O1left,187,-0.10000000000000142
O1,32,C. gouldi,right,0.03,32O1right,188,0.10000000000000142
O2,32,C. gouldi,left,0.03,32O2left,189,0.09999999999999432
O2,32,C. gouldi,right,0.03,32O2right,190,0.3999999999999986
O3,32,C. gouldi,left,0.03,32O3left,191,0
O3,32,C. gouldi,right,0.03,32O3right,192,-0.3999999999999986
O1,33,C. gouldi,left,0.03,33O1left,193,0.20000000000000284
O1,33,C. gouldi,right,0.03,33O1right,194,1.1999999999999957
O2,33,C. gouldi,left,0.03,33O2left,195,0
O2,33,C. gouldi,right,0.03,33O2right,196,0.10000000000000142
O3,33,C. gouldi,left,0.03,33O3left,197,-0.10000000000000142
O3,33,C. gouldi,right,0.03,33O3right,198,0.09999999999999432
O1,34,C. gouldi,left,0.03,34O1left,199,0.5
O1,34,C. gouldi,right,0.03,34O1right,200,0
O2,34,C. gouldi,left,0.03,34O2left,201,-0.29999999999999716
O2,34,C. gouldi,right,0.03,34O2right,202,-0.10000000000000142
O3,34,C. gouldi,left,0.03,34O3left,203,0.3999999999999986
O3,34,C. gouldi,right,0.03,34O3right,204,-0.10000000000000142
O1,35,C. gouldi,left,0.03,35O1left,205,0
O1,35,C. gouldi,right,0.03,35O1right,206,-0.3999999999999986
O2,35,C. gouldi,left,0.03,35O2left,207,0
O2,35,C. gouldi,right,0.03,35O2right,208,0
O3,35,C. gouldi,left,0.03,35O3left,209,-0.29999999999999716
O3,35,C. gouldi,right,0.03,35O3right,210,0.10000000000000142
O1,36,C. gouldi,left,0.03,36O1left,211,-0.10000000000000142
O1,36,C. gouldi,right,0.03,36O1right,212,-0.6000000000000014
O2,36,C. gouldi,left,0.03,36O2left,213,-0.10000000000000142
O2,36,C. gouldi,right,0.03,36O2right,214,0.29999999999999716
O3,36,C. gouldi,left,0.03,36O3left,215,-0.20000000000000284
O3,36,C. gouldi,right,0.03,36O3right,216,0.19999999999999574
O1,37,C. gouldi,left,0.03,37O1left,217,-0.10000000000000142
O1,37,C. gouldi,right,0.03,37O1right,218,-0.10000000000000142
O2,37,C. gouldi,left,0.03,37O2left,219,-0.10000000000000142
O2,37,C. gouldi,right,0.03,37O2right,220,0.20000000000000284
O3,37,C. gouldi,left,0.03,37O3left,221,-0.10000000000000142
O3,37,C. gouldi,right,0.03,37O3right,222,0.20000000000000284
O1,38,C. gouldi,left,0.03,38O1left,223,0
O1,38,C. gouldi,right,0.03,38O1right,224,0.7000000000000028
O2,38,C. gouldi,left,0.03,38O2left,225,0.10000000000000142
O2,38,C. gouldi,right,0.03,38O2right,226,0.19999999999999574
O3,38,C. gouldi,left,0.03,38O3left,227,0.09999999999999432
O3,38,C. gouldi,right,0.03,38O3right,228,0
O1,39,C. gouldi,left,0.03,39O1left,229,0
O1,39,C. gouldi,right,0.03,39O1right,230,0.30000000000000426
O2,39,C. gouldi,left,0.03,39O2left,231,-0.30000000000000426
O2,39,C. gouldi,right,0.03,39O2right,232,0
O3,39,C. gouldi,left,0.03,39O3left,233,0.20000000000000284
O3,39,C. gouldi,right,0.03,39O3right,234,0.19999999999999574
O1,40,C. gouldi,left,0.03,40O1left,235,0
O1,40,C. gouldi,right,0.03,40O1right,236,0.6000000000000014
O2,40,C. gouldi,left,0.03,40O2left,237,-0.10000000000000142
O2,40,C. gouldi,right,0.03,40O2right,238,0
O3,40,C. gouldi,left,0.03,40O3left,239,0.10000000000000142
O3,40,C. gouldi,right,0.03,40O3right,240,0.10000000000000142
