species,value,sd_val,Sex,sd1
Vespadelus vulturnus,28.5,0.03,F,0.28
Vespadelus darlingtoni,34,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus darlingtoni,33.9,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus vulturnus,30,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus darlingtoni,35.3,0.03,F,0.28
Vespadelus regulus,32.6,0.03,F,0.28
Vespadelus darlingtoni,34.5,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,32.9,0.03,F,0.28
Vespadelus vulturnus,28.5,0.03,F,0.28
Vespadelus vulturnus,28.1,0.03,F,0.28
Vespadelus vulturnus,28.6,0.03,F,0.28
Vespadelus darlingtoni,35.7,0.03,F,0.28
Vespadelus darlingtoni,36.7,0.03,F,0.28
Vespadelus darlingtoni,35.4,0.03,F,0.28
Vespadelus vulturnus,28.3,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus darlingtoni,37.4,0.03,F,0.28
Vespadelus darlingtoni,35.6,0.03,F,0.28
Vespadelus darlingtoni,34.4,0.03,F,0.28
Vespadelus vulturnus,29.9,0.03,F,0.28
Vespadelus regulus,31.6,0.03,F,0.28
Vespadelus regulus,32.3,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus darlingtoni,34.9,0.03,F,0.28
Vespadelus darlingtoni,33.7,0.03,F,0.28
Vespadelus darlingtoni,33.5,0.03,F,0.28
Vespadelus darlingtoni,35,0.03,F,0.28
Vespadelus darlingtoni,33.3,0.03,F,0.28
Vespadelus darlingtoni,34.8,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus darlingtoni,33.9,0.03,F,0.28
Vespadelus darlingtoni,34.7,0.03,F,0.28
Vespadelus vulturnus,30.1,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus vulturnus,29.2,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,29.2,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,28.6,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,30,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,29.2,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,27.2,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,28.6,0.03,F,0.28
Vespadelus regulus,30.2,0.03,F,0.28
Vespadelus vulturnus,27.3,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,29.8,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29.2,0.03,F,0.28
Vespadelus vulturnus,30.1,0.03,F,0.28
Vespadelus vulturnus,29.6,0.03,F,0.28
Vespadelus vulturnus,31.3,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,27.5,0.03,F,0.28
Vespadelus regulus,30.3,0.03,F,0.28
Vespadelus vulturnus,27.8,0.03,F,0.28
Vespadelus vulturnus,30.3,0.03,F,0.28
Vespadelus vulturnus,29.4,0.03,F,0.28
Vespadelus vulturnus,29.5,0.03,F,0.28
Vespadelus vulturnus,28.4,0.03,F,0.28
Vespadelus vulturnus,29.1,0.03,F,0.28
Vespadelus vulturnus,29.9,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,28.5,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,29.7,0.03,F,0.28
Vespadelus vulturnus,30.5,0.03,F,0.28
Vespadelus regulus,30,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,28.9,0.03,F,0.28
Vespadelus vulturnus,30.7,0.03,F,0.28
Vespadelus vulturnus,30.3,0.03,F,0.28
Vespadelus vulturnus,28.7,0.03,F,0.28
Vespadelus regulus,33.9,0.03,F,0.28
Vespadelus vulturnus,29,0.03,F,0.28
Vespadelus vulturnus,28.4,0.03,F,0.28
Vespadelus vulturnus,29.3,0.03,F,0.28
Vespadelus vulturnus,30.7,0.03,F,0.28
Vespadelus vulturnus,28,0.03,F,0.28
Vespadelus regulus,32.3,0.03,F,0.28
